type,time,longitude,latitude,altitude (ft)
,12/1/15 22:50,-86.80478382,36.1433317,135
,12/1/15 22:50,-86.80473713,36.1433226,135
,12/1/15 22:50,-86.80465836,36.1433662,138
,12/1/15 22:50,-86.80462888,36.1434157,140
,12/1/15 22:50,-86.80462185,36.1434396,140
,12/1/15 22:50,-86.8046085,36.143464,142
,12/1/15 22:51,-86.80460847,36.1435454,143
,12/1/15 22:51,-86.80460835,36.1435815,145
,12/1/15 22:51,-86.80461189,36.1436226,148
,12/1/15 22:51,-86.80462468,36.1436778,150
,12/1/15 22:51,-86.80462798,36.1437307,151
,12/1/15 22:51,-86.80463256,36.1437905,154
,12/1/15 22:51,-86.80465288,36.1438426,157
,12/1/15 22:51,-86.80465374,36.1439238,159
,12/1/15 22:51,-86.8046271,36.1439743,158
,12/1/15 22:51,-86.8045589,36.1440023,154
,12/1/15 22:51,-86.80444894,36.1440002,151
,12/1/15 22:51,-86.80441227,36.1440098,149
,12/1/15 22:52,-86.80434301,36.1440349,146
,12/1/15 22:52,-86.80423215,36.1440443,144
,12/1/15 22:52,-86.80413359,36.144065,142
,12/1/15 22:52,-86.80407344,36.1440883,142
,12/1/15 22:52,-86.80399656,36.1441039,141
,12/1/15 22:52,-86.80391791,36.144122,142
,12/1/15 22:52,-86.80387299,36.1441266,145
,12/1/15 22:52,-86.80382018,36.1441404,146
,12/1/15 22:52,-86.80379053,36.1441716,143
,12/1/15 22:52,-86.80379403,36.1442159,144
,12/1/15 22:52,-86.80380618,36.1442369,141
,12/1/15 22:52,-86.80380749,36.1442892,140
,12/1/15 22:53,-86.80380517,36.1443429,139
,12/1/15 22:53,-86.8038194,36.1443989,141
,12/1/15 22:53,-86.80382282,36.1444033,140
,12/1/15 22:53,-86.80382771,36.1444417,141
,12/1/15 22:53,-86.80383154,36.1444455,139
,12/1/15 22:53,-86.80384777,36.144499,139
,12/1/15 22:53,-86.80385452,36.1445073,139
,12/1/15 22:53,-86.80389962,36.1445562,138
,12/1/15 22:53,-86.80391475,36.144583,139
,12/1/15 22:53,-86.80392351,36.1446288,140
,12/1/15 22:53,-86.80390085,36.1446862,137
,12/1/15 22:54,-86.80388878,36.1447059,137
,12/1/15 22:54,-86.80382259,36.1447896,137
,12/1/15 22:54,-86.80366938,36.144917,139
,12/1/15 22:54,-86.80359834,36.1449612,141
,12/1/15 22:54,-86.80354247,36.1449902,140
,12/1/15 22:54,-86.80350629,36.1449825,137
,12/1/15 22:54,-86.80344067,36.1449572,136
,12/1/15 22:54,-86.80336068,36.1449709,139
,12/1/15 22:54,-86.80330039,36.1449737,137
,12/1/15 22:54,-86.8032696,36.1449677,136
,12/1/15 22:55,-86.80321752,36.1449536,133
,12/1/15 22:55,-86.80315751,36.1449607,134
,12/1/15 22:55,-86.80313302,36.1449744,136
,12/1/15 22:55,-86.8030959,36.1449999,137
,12/1/15 22:55,-86.80307159,36.1450098,137
,12/1/15 22:55,-86.80306084,36.1450342,141
,12/1/15 22:55,-86.80306849,36.1450656,149
,12/1/15 22:55,-86.8030864,36.145091,148
,12/1/15 22:55,-86.80308642,36.1451153,149
,12/1/15 22:55,-86.80308335,36.1451244,149
,12/1/15 22:55,-86.80305814,36.1451383,146
,12/1/15 22:55,-86.80306384,36.1451632,149
,12/1/15 22:56,-86.80305946,36.1451843,149
,12/1/15 22:56,-86.80305912,36.1452205,150
,12/1/15 22:56,-86.80303569,36.145263,147
